Input_Text,Process_Text,Status,Before Replace,After Replace
আমার ডেন্টিস্টের অ্যাপয়েন্টমেন্ট ১০ এপ্রিল ১৯৯৬.,আমার ডেন্টিস্টের অ্যাপয়েন্টমেন্ট দশ এপ্রিল উনিশশো ছিয়ানব্বই . ,False,"['১০', '১৯৯৬.']","['দশ', 'উনিশশো ছিয়ানব্বই .']"
"The numbers are 10 নন-ক্যাডার 20.5  30, and 40.75. সুপারিশ ২০৩০.৩০ 12 23 45",The numbers are দশ নন ক্যাডার বিশ দশমিক পাঁচ ত্রিশ and চল্লিশ দশমিক সাত পাঁচ সুপারিশ দুই হাজার ত্রিশ দশমিক তিন শূন্য বারো তেইশ পঁয়তাল্লিশ ,False,"['10', 'নন-ক্যাডার', '20.5 30,', '40.75.', '২০৩০.৩০ 12 23 45']","['দশ নন', 'ক্যাডার', 'বিশ দশমিক পাঁচ ত্রিশ', 'চল্লিশ দশমিক সাত পাঁচ', 'দুই হাজার ত্রিশ দশমিক তিন শূন্য বারো তেইশ পঁয়তাল্লিশ']"
১৯৯৬ সালের ৬ তারিখে নির্ধারিত করা হয়েছে.,উনিশশো ছিয়ানব্বই সালের ছয় তারিখে নির্ধারিত করা হয়েছে . ,False,"['১৯৯৬', '৬', 'হয়েছে.']","['উনিশশো ছিয়ানব্বই', 'ছয়', 'হয়েছে .']"
১৯৯৬ সালের ৬ সেপ্টেম্বর ভ্রমণ পরিকল্পনা করছি.,উনিশশো ছিয়ানব্বই সালের ছয় সেপ্টেম্বর ভ্রমণ পরিকল্পনা করছি . ,False,"['১৯৯৬', '৬', 'করছি.']","['উনিশশো ছিয়ানব্বই', 'ছয়', 'করছি .']"
আমি জুলাই ২০২৩ তে একটি সমুদ্র ভ্রমণ পরিকল্পনা করছি.,আমি জুলাই দুই হাজার তেইশ তে একটি সমুদ্র ভ্রমণ পরিকল্পনা করছি . ,False,"['২০২৩', 'করছি.']","['দুই হাজার তেইশ', 'করছি .']"
সম্মেলনটি সেপ্টেম্বর ০৫ ২০২৩ তারিখে নির্ধারিত করা হয়েছে.,সম্মেলনটি সেপ্টেম্বর পাঁচ দুই হাজার তেইশ তারিখে নির্ধারিত করা হয়েছে . ,False,"['০৫ ২০২৩', 'হয়েছে.']","['পাঁচ দুই হাজার তেইশ', 'হয়েছে .']"
আমরা খ্রীষ্টমাসের জন্য ডিসেম্বর ২৫ ২০২৩ তারিখে পরিবারের সংগঠন করব.,আমরা খ্রীষ্টমাসের জন্য ডিসেম্বর পঁচিশ দুই হাজার তেইশ তারিখে পরিবারের সংগঠন করব . ,False,"['২৫ ২০২৩', 'করব.']","['পঁচিশ দুই হাজার তেইশ', 'করব .']"
"আমার বোনের বিয়ে ১৮ মার্চ, ২০২৩ তারিখে.","আমার বোনের বিয়ে আঠারো মার্চ, দুই হাজার তেইশ তারিখে . ",False,"['১৮', '২০২৩', 'তারিখে.']","['আঠারো', 'দুই হাজার তেইশ', 'তারিখে .']"
"আমি আগামী ১২ আগস্ট, ২০২৩ তারিখে আমার জন্মদিনে দেখা করছি.","আমি আগামী বারো আগস্ট, দুই হাজার তেইশ তারিখে আমার জন্মদিনে দেখা করছি . ",False,"['১২', '২০২৩', 'করছি.']","['বারো', 'দুই হাজার তেইশ', 'করছি .']"
আমরা ফেব্রুয়ারি ২০২৩ তে স্কিউইং যাব.,আমরা ফেব্রুয়ারি দুই হাজার তেইশ তে স্কিউইং যাব . ,False,"['২০২৩', 'যাব.']","['দুই হাজার তেইশ', 'যাব .']"
আমাদের কোম্পানির পিকনিকটি জুন ৩০ ২০২৩ তারিখে নির্ধারিত হয়েছে.,আমাদের কোম্পানির পিকনিকটি জুন ত্রিশ দুই হাজার তেইশ তারিখে নির্ধারিত হয়েছে . ,False,"['৩০ ২০২৩', 'হয়েছে.']","['ত্রিশ দুই হাজার তেইশ', 'হয়েছে .']"
"আমার গুরুত্বপূর্ণ পরীক্ষা ১০ মে, ২০২৩ তারিখে.","আমার গুরুত্বপূর্ণ পরীক্ষা দশ মে, দুই হাজার তেইশ তারিখে . ",False,"['১০', '২০২৩', 'তারিখে.']","['দশ', 'দুই হাজার তেইশ', 'তারিখে .']"
নতুন সেমিস্টার শুরু হয় জানুয়ারি ২০২৩ তারিখে.,নতুন সেন্টিমিটারস্টার শুরু হয় জানুয়ারি দুই হাজার তেইশ তারিখে . ,False,"['সেমিস্টার', '২০২৩', 'তারিখে.']","['সেন্টিমিটারস্টার', 'দুই হাজার তেইশ', 'তারিখে .']"
আমরা এপ্রিল ২০২৩ তে একটি রোড ট্রিপ পরিকল্পনা করছি.,আমরা এপ্রিল দুই হাজার তেইশ তে একটি রোড ট্রিপ পরিকল্পনা করছি . ,False,"['২০২৩', 'করছি.']","['দুই হাজার তেইশ', 'করছি .']"
আমি অক্টোবর ২০২৩ তারিখে একটি নতুন অ্যাপার্টমেন্টে যাচ্ছি.,আমি অক্টোবর দুই হাজার তেইশ তারিখে একটি নতুন অ্যাপার্টমেন্টে যাচ্ছি . ,False,"['২০২৩', 'যাচ্ছি.']","['দুই হাজার তেইশ', 'যাচ্ছি .']"
"আপনার ক্যালেন্ডারের মার্ক নভেম্বর ০৫, 1996, এটি দীপাবলি.","আপনার ক্যালেন্ডারের মার্ক নভেম্বর পাঁচ উনিশশো ছিয়ানব্বই, এটি দীপাবলি . ",False,"['০৫, 1996,', 'দীপাবলি.']","['পাঁচ উনিশশো ছিয়ানব্বই,', 'দীপাবলি .']"
আমি জুলাই 1996 তারিখে গরম শিবিরের জন্য উৎসাহিত.,আমি জুলাই উনিশশো ছিয়ানব্বই তারিখে গরম শিবিরের জন্য উৎসাহিত . ,False,"['1996', 'উৎসাহিত.']","['উনিশশো ছিয়ানব্বই', 'উৎসাহিত .']"
"মার্চ ২৫, 1195 তারিখের কনসার্ট টিকেটগুলি দ্রুত বিক্রয় হচ্ছে.",মার্চ পঁচিশ এগারোশো পঁচানব্বই তারিখের কনসার্টটিকেটগুলি দ্রুত বিক্রয় হচ্ছে . ,False,"['২৫, 1195', 'কনসার্ট টিকেটগুলি', 'হচ্ছে.']","['পঁচিশ এগারোশো পঁচানব্বই', 'কনসার্টটিকেটগুলি', 'হচ্ছে .']"
